mcdi_wordforms_raw,gender,mcdi_wordforms_inter_ptile_within,mcdi_wordforms_inter_ptile_both
0,M,5,5
1,M,10,6.25
2,M,11.667,7.5
3,M,13.333,8.75
4,M,15,10
5,M,17.5,12.5
6,M,20,15
7,M,21.667,16.667
8,M,23.333,18.333
9,M,25,20
10,M,27.5,21.667
11,M,30,23.333
12,M,35,25
13,M,40,30
14,M,42.5,35
15,M,45,40
16,M,65,42.5
17,M,67.5,60
18,M,75,62.5
19,M,80,75
20,M,82.5,80
21,M,85,82.5
22,M,90,85
23,M,92.5,90
24,M,95,92.5
25,M,99,99
0,F,<5,5
1,F,<5,6.25
2,F,<5,7.5
3,F,5,8.75
4,F,7.5,10
5,F,10,12.5
6,F,11,15
7,F,12,16.667
8,F,13,18.333
9,F,14,20
10,F,15,21.667
11,F,17.5,23.333
12,F,20,25
13,F,22.5,30
14,F,25,35
15,F,26.667,40
16,F,28.333,42.5
17,F,40,60
18,F,65,62.5
19,F,70,75
20,F,72.5,80
21,F,75,82.5
22,F,80,85
23,F,85,90
24,F,90,92.5
25,F,99,99
9999,M,9999,9999
9999,F,9999,9999
