psi_diffchld_raw,psi_diffchld_t,psi_diffchld_ptile
60,87,≥99
59,86,≥99
58,85,≥99
57,84,≥99
56,83,≥99
55,81,≥99
54,80,≥99
53,79,≥99
52,78,≥99
51,77,≥99
50,76,≥99
49,75,≥99
48,73,≥99
47,72,98
46,71,98
45,70,98
44,69,97
43,68,96
42,66,95
41,65,93
40,64,91
39,63,88
38,62,86
37,61,83
36,60,81
35,58,78
34,57,76
33,56,73
32,55,70
31,54,68
30,53,66
29,51,62
28,50,59
27,49,56
26,48,52
25,47,47
24,46,41
23,45,35
22,43,30
21,42,26
20,41,22
19,40,18
18,39,14
17,38,11
16,36,9
15,35,6
14,34,4
13,33,2
12,32,≤1
