psi_overall_raw,psi_overall_ptile,psi_overall_t
180,≥99,92
179,≥99,91
178,≥99,91
177,≥99,91
176,≥99,90
175,≥99,90
174,≥99,89
173,≥99,89
172,≥99,89
171,≥99,88
170,≥99,88
169,≥99,87
168,≥99,87
167,≥99,87
166,≥99,86
165,≥99,86
164,≥99,85
163,≥99,85
162,≥99,84
161,≥99,84
160,≥99,84
159,≥99,83
158,≥99,83
157,≥99,82
156,≥99,82
155,≥99,82
154,≥99,81
153,≥99,81
152,≥99,80
151,≥99,80
150,≥99,79
149,≥99,79
148,≥99,79
147,≥99,78
146,≥99,78
145,≥99,77
144,≥99,77
143,≥99,77
142,≥99,76
141,≥99,76
140,≥99,75
139,≥99,75
138,≥99,75
137,≥99,74
136,≥99,74
135,≥99,73
134,≥99,73
133,≥99,72
132,≥99,72
131,≥99,72
130,≥99,71
129,≥99,71
128,≥99,70
127,98,70
126,98,70
125,98,69
124,97,69
123,97,68
122,97,68
121,96,68
120,96,67
119,95,67
118,94,66
117,93,66
116,92,65
115,91,65
114,90,65
113,88,64
112,87,64
111,86,63
110,85,63
109,84,63
108,84,62
107,83,62
106,82,61
105,81,61
104,80,60
103,79,60
102,78,60
101,77,59
100,77,59
99,77,58
98,76,58
97,75,58
96,75,57
95,74,57
94,74,56
93,74,56
92,73,56
91,72,55
90,72,55
89,70,54
88,69,54
87,68,53
86,67,53
85,66,53
84,65,52
83,64,52
82,62,51
81,61,51
80,60,51
79,59,50
78,58,50
77,57,49
76,56,49
75,54,48
74,52,48
73,50,48
72,47,47
71,46,47
70,44,46
69,42,46
68,40,46
67,39,45
66,37,45
65,35,44
64,33,44
63,31,44
62,29,43
61,28,43
60,26,42
59,24,42
58,22,41
57,20,41
56,19,41
55,17,40
54,16,40
53,14,39
52,13,39
51,12,39
50,10,38
49,9,38
48,8,37
47,7,37
46,6,37
45,6,36
44,5,36
43,4,35
42,4,35
41,3,34
40,2,34
39,≤1,34
38,≤1,33
37,≤1,33
36,≤1,32
