psi_parchlddysf_raw,psi_parchlddysf_t,psi_parchlddysf_ptile
60,92,≥99
59,91,≥99
58,90,≥99
57,89,≥99
56,88,≥99
55,87,≥99
54,85,≥99
53,84,≥99
52,83,≥99
51,82,≥99
50,81,≥99
49,80,≥99
48,78,≥99
47,77,≥99
46,76,≥99
45,75,≥99
44,74,≥99
43,73,98
42,71,98
41,70,97
40,69,96
39,68,95
38,67,94
37,66,92
36,64,90
35,63,86
34,62,85
33,61,83
32,60,82
31,58,80
30,57,78
29,56,76
28,55,73
27,54,70
26,53,67
25,51,63
24,50,59
23,49,55
22,48,51
21,47,48
20,46,43
19,44,37
18,43,32
17,42,28
16,41,24
15,40,19
14,39,14
13,37,10
12,36,5
