psi_pardistress_t,psi_pardistress_raw,psi_pardistress_ptile
85,60,≥99
84,59,≥99
83,58,≥99
82,57,≥99
81,56,≥99
80,55,≥99
79,54,≥99
78,53,≥99
77,52,≥99
76,51,≥99
75,50,≥99
74,49,≥99
72,48,≥99
71,47,≥99
70,46,98
69,45,98
68,44,97
67,43,96
66,42,94
65,41,92
64,40,91
63,39,88
62,38,85
61,37,82
60,36,81
58,35,78
57,34,76
56,33,73
55,32,71
54,31,68
53,30,67
52,29,64
51,28,62
50,27,59
49,26,55
48,25,50
47,24,46
46,23,39
44,22,36
43,21,32
42,20,27
41,19,23
40,18,20
39,17,15
38,16,11
37,15,8
36,14,7
35,13,5
34,12,3
