PD,P-CDI,DC,Ptile
60,60,60,?99
59,59,59,?99
58,58,58,?99
57,57,57,?99
56,56,56,?99
55,55,55,?99
54,54,54,?99
53,53,53,?99
52,52,52,?99
51,51,51,?99
50,50,50,?99
49,49,49,?99
48,48,48,?99
47,47,,?99
,46,,?99
,45,,?99
,44,,?99
46,43,47,98
45,42,46,98
,,45,98
44,41,44,97
43,40,43,96
,39,42,95
42,38,,94
,,41,93
41,37,,92
40,,40,91
,36,,90
,,,89
39,,39,88
,,,87
,35,38,86
38,34,,85
,,,84
,33,37,83
37,32,,82
36,,36,81
,31,,80
,,,79
35,30,35,78
,,,77
34,29,34,76
,,,75
,,,74
33,28,33,73
,,,72
32,,,71
,27,32,70
,,,69
31,,31,68
30,26,,67
,,30,66
,,,65
29,,,64
,25,,63
28,,29,62
,,,61
,,,60
27,24,28,59
,,,58
,,,57
,,27,56
26,23,,55
,,,54
,,,53
,,26,52
,22,,51
25,,,50
,,,49
,21,,48
,,25,47
24,,,46
,,,45
,,,44
,20,,43
,,,42
,,24,41
,,,40
23,,,39
,,,38
,19,,37
22,,,36
,,23,35
,,,34
,,,33
21,18,,32
,,,31
,,22,30
,,,29
,17,,28
20,,,27
,,21,26
,,,25
,16,,24
19,,,23
,,20,22
,,,21
18,,,20
,15,,19
,,19,18
,,,17
,,,16
17,,,15
,14,18,14
,,,13
,,,12
16,,17,11
,13,,10
,,16,9
15,,,8
14,,,7
,,15,6
13,12,,5
,,14,4
12,,,3
,,13,2
,,12,?1
