Tscore,PD,P-CDI,DC,Tscore2
100,,,,100
99,,,,99
98,,,,98
97,,,,97
96,,,,96
95,,,,95
94,,,,94
93,,,,93
92,,60,,92
91,,59,,91
90,,58,,90
89,,57,,89
88,,56,,88
87,,55,60,87
86,,,59,86
85,60,54,58,85
84,59,53,57,84
83,58,52,56,83
82,57,51,,82
81,56,50,55,81
80,55,49,54,80
79,54,,53,79
78,53,48,52,78
77,52,47,51,77
76,51,46,50,76
75,50,45,49,75
74,49,44,,74
73,,43,48,73
72,48,,47,72
71,47,42,46,71
70,46,41,45,70
69,45,40,44,69
68,44,39,43,68
67,43,38,,67
66,42,37,42,66
65,41,,41,65
64,40,36,40,64
63,39,35,39,63
62,38,34,38,62
61,37,33,37,61
60,36,32,36,60
59,,,,59
58,35,31,35,58
57,34,30,34,57
56,33,29,33,56
55,32,28,32,55
54,31,27,31,54
53,30,26,30,53
52,29,,,52
51,28,25,29,51
50,27,24,28,50
49,26,23,27,49
48,25,22,26,48
47,24,21,25,47
46,23,20,24,46
45,,,23,45
44,22,19,,44
43,21,18,22,43
42,20,17,21,42
41,19,16,20,41
40,18,15,19,40
39,17,14,18,39
38,16,,17,38
37,15,13,,37
36,14,12,16,36
35,13,,15,35
34,12,,14,34
33,,,13,33
32,,,12,32
31,,,,31
30,,,,30
29,,,,29
28,,,,28
27,,,,27
26,,,,26
25,,,,25
24,,,,24
23,,,,23
22,,,,22
21,,,,21
20,,,,20
19,,,,19
18,,,,18
