raw,srs_awr_t,srs_cog_t,srs_com_t,srs_mot_t,srs_rrb_t,srs_total_t,srs_sci_t
0,34,39,40,38,42,38,37
1,37,41,41,40,44,38,38
2,40,43,42,43,46,39,38
3,43,45,43,45,48,39,39
4,47,47,44,47,50,39,39
5,50,49,45,49,52,40,40
6,53,51,47,51,54,40,40
7,56,53,48,54,56,41,41
8,59,55,49,56,58,41,41
9,62,57,50,58,60,42,42
10,65,59,51,60,62,42,42
11,68,61,52,62,64,42,43
12,71,63,53,64,66,43,43
13,75,65,55,67,68,43,44
14,78,67,56,69,70,44,44
15,81,69,57,71,72,44,45
16,84,71,58,73,74,45,45
17,87,73,59,75,76,45,46
18,90,75,60,78,78,45,46
19,93,77,62,80,80,46,47
20,96,78,63,82,82,46,47
21,100,80,64,84,84,47,48
22,103,82,65,86,86,47,49
23,106,84,66,89,88,47,49
24,109,86,67,91,90,48,50
25,,88,68,93,92,48,50
26,,90,70,95,94,49,51
27,,92,71,97,96,49,51
28,,94,72,99,98,50,52
29,,96,73,102,100,50,52
30,,98,74,104,102,50,53
31,,100,75,106,104,51,53
32,,102,76,108,106,51,54
33,,104,78,110,108,52,54
34,,106,79,,110,52,55
35,,108,80,,112,53,55
36,,110,81,,115,53,56
37,,,82,,,53,56
38,,,83,,,54,57
39,,,84,,,54,57
40,,,86,,,55,58
41,,,87,,,55,58
42,,,88,,,55,59
43,,,89,,,56,59
44,,,90,,,56,60
45,,,91,,,57,60
46,,,93,,,57,61
47,,,94,,,58,61
48,,,95,,,58,62
49,,,96,,,58,62
50,,,97,,,59,63
51,,,98,,,59,63
52,,,99,,,60,64
53,,,101,,,60,64
54,,,102,,,61,65
55,,,103,,,61,66
56,,,104,,,61,66
57,,,105,,,62,67
58,,,106,,,62,67
59,,,107,,,63,68
60,,,109,,,63,68
61,,,110,,,64,69
62,,,111,,,64,69
63,,,112,,,64,70
64,,,113,,,65,70
65,,,114,,,65,71
66,,,115,,,66,71
67,,,,,,66,72
68,,,,,,66,72
69,,,,,,67,73
70,,,,,,67,73
71,,,,,,68,74
72,,,,,,68,74
73,,,,,,69,75
74,,,,,,69,75
75,,,,,,69,76
76,,,,,,70,76
77,,,,,,70,77
78,,,,,,71,77
79,,,,,,71,78
80,,,,,,72,78
81,,,,,,72,79
82,,,,,,72,79
83,,,,,,73,80
84,,,,,,73,80
85,,,,,,74,81
86,,,,,,74,81
87,,,,,,74,82
88,,,,,,75,82
89,,,,,,75,83
90,,,,,,76,84
91,,,,,,76,84
92,,,,,,77,85
93,,,,,,77,85
94,,,,,,77,86
95,,,,,,78,86
96,,,,,,78,87
97,,,,,,79,87
98,,,,,,79,88
99,,,,,,80,88
100,,,,,,80,89
101,,,,,,80,89
102,,,,,,81,90
103,,,,,,81,90
104,,,,,,82,91
105,,,,,,82,91
106,,,,,,82,92
107,,,,,,83,92
108,,,,,,83,93
109,,,,,,84,93
110,,,,,,84,94
111,,,,,,85,94
112,,,,,,85,95
113,,,,,,85,95
114,,,,,,86,96
115,,,,,,86,96
116,,,,,,87,97
117,,,,,,87,97
118,,,,,,88,98
119,,,,,,88,98
120,,,,,,88,99
121,,,,,,89,99
122,,,,,,89,100
123,,,,,,90,101
124,,,,,,90,101
125,,,,,,91,102
126,,,,,,91,102
127,,,,,,91,103
128,,,,,,92,103
129,,,,,,92,104
130,,,,,,93,104
131,,,,,,93,105
132,,,,,,93,105
133,,,,,,94,106
134,,,,,,94,106
135,,,,,,95,107
136,,,,,,95,107
137,,,,,,96,108
138,,,,,,96,108
139,,,,,,96,109
140,,,,,,97,109
141,,,,,,97,110
142,,,,,,98,110
143,,,,,,98,111
144,,,,,,99,111
145,,,,,,99,112
146,,,,,,99,112
147,,,,,,100,113
148,,,,,,100,113
149,,,,,,101,114
150,,,,,,101,114
151,,,,,,101,115
152,,,,,,102,115
153,,,,,,102,116
154,,,,,,103,116
155,,,,,,103,117
156,,,,,,104,117
157,,,,,,104,118
158,,,,,,104,119
159,,,,,,105,119
160,,,,,,105,
161,,,,,,106,
162,,,,,,106,
163,,,,,,107,
164,,,,,,107,
165,,,,,,107,
166,,,,,,108,
167,,,,,,108,
168,,,,,,109,
169,,,,,,109,
170,,,,,,109,
171,,,,,,110,
172,,,,,,110,
173,,,,,,111,
174,,,,,,111,
175,,,,,,112,
176,,,,,,112,
177,,,,,,112,
178,,,,,,113,
179,,,,,,113,
180,,,,,,114,
181,,,,,,114,
182,,,,,,115,
183,,,,,,115,
184,,,,,,115,
185,,,,,,116,
186,,,,,,116,
187,,,,,,117,
188,,,,,,117,
189,,,,,,118,
190,,,,,,118,
191,,,,,,118,
192,,,,,,119,
193,,,,,,119,
194,,,,,,120,
195,,,,,,120,
