raw,srs_awr_raw,srs_cog_raw,srs_com_raw,srs_mot_raw,srs_rrb_raw,srs_total_raw,srs_sci_raw
0,32,39,38,38,41,37,36
1,35,40,39,40,43,37,36
2,38,42,40,42,45,37,37
3,42,44,41,44,46,38,37
4,45,46,43,46,48,38,38
5,48,48,44,48,50,39,38
6,51,50,45,50,52,39,39
7,54,52,46,52,53,39,39
8,57,53,47,54,55,40,40
9,60,55,48,56,57,40,40
10,64,57,49,58,59,41,41
11,67,59,50,60,61,41,41
12,70,61,51,62,62,41,42
13,73,63,52,64,64,42,42
14,76,65,54,67,66,42,43
15,79,66,55,69,68,43,43
16,82,68,56,71,69,43,44
17,86,70,57,73,71,43,44
18,89,72,58,75,73,44,45
19,92,74,59,77,75,44,45
20,95,76,60,79,76,45,46
21,98,78,61,81,78,45,46
22,101,79,62,83,80,45,47
23,104,81,63,85,82,46,47
24,108,83,65,87,83,46,48
25,,85,66,89,85,47,48
26,,87,67,91,87,47,49
27,,89,68,93,89,47,49
28,,91,69,95,91,48,50
29,,92,70,97,92,48,50
30,,94,71,99,94,49,51
31,,96,72,101,96,49,51
32,,98,73,103,98,49,52
33,,100,74,106,99,50,52
34,,102,75,,101,50,53
35,,104,77,,103,51,53
36,,105,78,,105,51,54
37,,,79,,,51,54
38,,,80,,,52,55
39,,,81,,,52,55
40,,,82,,,53,56
41,,,83,,,53,56
42,,,84,,,53,57
43,,,85,,,54,57
44,,,86,,,54,58
45,,,88,,,55,58
46,,,89,,,55,59
47,,,90,,,55,59
48,,,91,,,56,60
49,,,92,,,56,60
50,,,93,,,57,61
51,,,94,,,57,61
52,,,95,,,57,62
53,,,96,,,58,62
54,,,97,,,58,63
55,,,99,,,58,63
56,,,100,,,59,64
57,,,101,,,59,64
58,,,102,,,60,65
59,,,103,,,60,65
60,,,104,,,60,66
61,,,105,,,61,66
62,,,106,,,61,67
63,,,107,,,62,67
64,,,108,,,62,68
65,,,110,,,62,68
66,,,111,,,63,69
67,,,,,,63,69
68,,,,,,64,70
69,,,,,,64,70
70,,,,,,64,71
71,,,,,,65,71
72,,,,,,65,71
73,,,,,,66,72
74,,,,,,66,72
75,,,,,,66,73
76,,,,,,67,73
77,,,,,,67,74
78,,,,,,68,74
79,,,,,,68,75
80,,,,,,68,75
81,,,,,,69,76
82,,,,,,69,76
83,,,,,,70,77
84,,,,,,70,77
85,,,,,,70,78
86,,,,,,71,78
87,,,,,,71,79
88,,,,,,72,79
89,,,,,,72,80
90,,,,,,72,80
91,,,,,,73,81
92,,,,,,73,81
93,,,,,,74,82
94,,,,,,74,82
95,,,,,,74,83
96,,,,,,75,83
97,,,,,,75,84
98,,,,,,76,84
99,,,,,,76,85
100,,,,,,76,85
101,,,,,,77,86
102,,,,,,77,86
103,,,,,,78,87
104,,,,,,78,87
105,,,,,,78,88
106,,,,,,79,88
107,,,,,,79,89
108,,,,,,80,89
109,,,,,,80,90
110,,,,,,80,90
111,,,,,,81,91
112,,,,,,81,91
113,,,,,,82,92
114,,,,,,82,92
115,,,,,,82,93
116,,,,,,83,93
117,,,,,,83,94
118,,,,,,83,94
119,,,,,,84,95
120,,,,,,84,95
121,,,,,,85,96
122,,,,,,85,96
123,,,,,,85,97
124,,,,,,86,97
125,,,,,,86,98
126,,,,,,87,98
127,,,,,,87,99
128,,,,,,87,99
129,,,,,,88,100
130,,,,,,88,100
131,,,,,,89,101
132,,,,,,89,101
133,,,,,,89,102
134,,,,,,90,102
135,,,,,,90,103
136,,,,,,91,103
137,,,,,,91,104
138,,,,,,91,104
139,,,,,,92,105
140,,,,,,92,105
141,,,,,,93,106
142,,,,,,93,106
143,,,,,,93,107
144,,,,,,94,107
145,,,,,,94,108
146,,,,,,95,108
147,,,,,,95,109
148,,,,,,95,109
149,,,,,,96,110
150,,,,,,96,110
151,,,,,,97,111
152,,,,,,97,111
153,,,,,,97,112
154,,,,,,98,112
155,,,,,,98,113
156,,,,,,99,113
157,,,,,,99,113
158,,,,,,99,114
159,,,,,,100,114
160,,,,,,100,
161,,,,,,101,
162,,,,,,101,
163,,,,,,101,
164,,,,,,102,
165,,,,,,102,
166,,,,,,103,
167,,,,,,103,
168,,,,,,103,
169,,,,,,104,
170,,,,,,104,
171,,,,,,105,
172,,,,,,105,
173,,,,,,105,
174,,,,,,106,
175,,,,,,106,
176,,,,,,107,
177,,,,,,107,
178,,,,,,107,
179,,,,,,108,
180,,,,,,108,
181,,,,,,108,
182,,,,,,109,
183,,,,,,109,
184,,,,,,110,
185,,,,,,110,
186,,,,,,110,
187,,,,,,111,
188,,,,,,111,
189,,,,,,112,
190,,,,,,112,
191,,,,,,112,
192,,,,,,113,
193,,,,,,113,
194,,,,,,114,
195,,,,,,114,
